continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,hosp_patients,population,gdp_per_capita,extreme_poverty
South America,Bolivia,2020-03-11,2,2,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-12,2,0,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-13,3,1,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-14,10,7,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-15,10,0,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-16,11,1,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-17,11,0,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-18,12,1,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-19,12,0,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-20,15,3,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-21,19,4,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-22,24,5,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-23,27,3,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-24,29,2,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-25,32,3,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-26,43,11,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-27,61,18,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-28,74,13,,,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-29,81,7,1,1,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-30,97,16,4,3,,,11673029,6885.829,7.1
South America,Bolivia,2020-03-31,107,10,6,2,,,11673029,6885.829,7.1
South America,Bolivia,2020-04-01,115,8,7,1,1.16,,11673029,6885.829,7.1
South America,Bolivia,2020-04-02,123,8,8,1,1.16,,11673029,6885.829,7.1
South America,Bolivia,2020-04-03,132,9,9,1,1.18,,11673029,6885.829,7.1
South America,Bolivia,2020-04-04,139,7,10,1,1.21,,11673029,6885.829,7.1
