iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
PER,South America,Peru,2020-01-06,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-07,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-08,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-09,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-10,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-11,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-12,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-13,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-14,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-15,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-16,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-17,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-18,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-19,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-20,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-21,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-22,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-23,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-24,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-25,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-26,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-27,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-28,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-29,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-30,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-01-31,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-01,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-02,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-03,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-04,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-05,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-06,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-07,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-08,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-09,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-10,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-11,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-12,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-13,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-14,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-15,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-16,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-17,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-18,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-19,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-20,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-21,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-22,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-23,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-24,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-25,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-26,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-27,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-28,,,,,32971846,25.129,12236.706
PER,South America,Peru,2020-02-29,,,,,32971846,25.129,12236.706
ECU,South America,Ecuador,2020-03-01,0.34,0.34,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-01,,,,,32971846,25.129,12236.706
ECU,South America,Ecuador,2020-03-02,0.34,0,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-02,,,,,32971846,25.129,12236.706
ECU,South America,Ecuador,2020-03-03,0.397,0.057,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-03,,,,,32971846,25.129,12236.706
ECU,South America,Ecuador,2020-03-04,0.567,0.17,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-04,,,,,32971846,25.129,12236.706
ECU,South America,Ecuador,2020-03-05,0.737,0.17,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-05,,,,,32971846,25.129,12236.706
COL,South America,Colombia,2020-03-06,0.02,0.02,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-06,0.737,0,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-06,0.03,0.03,0.03,0.03,32971846,25.129,12236.706
COL,South America,Colombia,2020-03-07,0.02,0,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-07,0.737,0,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-07,0.03,0,0.03,0,32971846,25.129,12236.706
COL,South America,Colombia,2020-03-08,0.02,0,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-08,0.794,0.057,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-08,0.182,0.152,0.061,0.03,32971846,25.129,12236.706
COL,South America,Colombia,2020-03-09,0.02,0,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-09,0.85,0.057,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-09,0.212,0.03,0.061,0,32971846,25.129,12236.706
COL,South America,Colombia,2020-03-10,0.059,0.039,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-10,0.85,0,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-10,0.334,0.121,0.061,0,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-11,0.171,0.171,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-11,0.177,0.118,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-11,0.964,0.113,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-11,0.334,0,0.061,0,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-12,0.171,0,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-12,0.177,0,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-12,0.964,0,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-12,0.455,0.121,0.091,0.03,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-13,0.257,0.086,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-13,0.255,0.079,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-13,0.964,0,,,17643060,66.939,10581.936
PER,South America,Peru,2020-03-13,0.849,0.394,0.091,0,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-14,0.857,0.6,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-14,0.432,0.177,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-14,1.587,0.623,0.113,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-14,1.152,0.303,0.091,0,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-15,0.857,0,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-15,0.668,0.236,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-15,1.587,0,0.113,0,17643060,66.939,10581.936
PER,South America,Peru,2020-03-15,1.304,0.152,0.152,0.061,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-16,0.942,0.086,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-16,1.12,0.452,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-16,2.097,0.51,0.113,0,17643060,66.939,10581.936
PER,South America,Peru,2020-03-16,2.608,1.304,0.152,0,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-17,0.942,0,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-17,1.474,0.354,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-17,3.287,1.19,0.113,0,17643060,66.939,10581.936
PER,South America,Peru,2020-03-17,3.548,0.94,0.273,0.121,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-18,1.028,0.086,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-18,2.005,0.531,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-18,6.291,3.004,0.113,0,17643060,66.939,10581.936
PER,South America,Peru,2020-03-18,4.398,0.849,0.455,0.182,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-19,1.028,0,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-19,2.123,0.118,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-19,11.279,4.988,0.17,0.057,17643060,66.939,10581.936
PER,South America,Peru,2020-03-19,7.097,2.699,0.607,0.152,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-20,1.285,0.257,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-20,3.105,0.983,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-20,20.801,9.522,0.283,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-20,7.097,0,0.789,0.182,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-21,1.628,0.343,,,11673029,10.202,6885.829
COL,South America,Colombia,2020-03-21,3.852,0.747,,,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-03-21,28.68,7.878,0.397,0.113,17643060,66.939,10581.936
PER,South America,Peru,2020-03-21,9.645,2.548,0.91,0.121,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-03-22,2.056,0.428,,,11673029,10.202,6885.829
